Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram,Twitter,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram 1,Telegram 2,YouTube,Skype,Широта,Долгота,2GIS URL,Тип
IT-MR,сервисный центр по ремонту компьютеров,Компьютеры; Ремонт компьютеров,"микрорайон Шугыла, 340/4 к4",цокольный этаж,050000,Шугыла м-н,Наурызбайский район,Алматы,,Алматы,Казахстан,"Пн: 11:00-14:00, 15:00-20:00; Вт: 11:00-14:00, 15:00-20:00; Ср: 11:00-14:00, 15:00-20:00; Чт: 11:00-14:00, 15:00-20:00; Пт: 11:00-14:00, 15:00-20:00; Сб: 11:00-14:00, 15:00-20:00",+05:00,4.9,2,87087590401,,,,,,,,,https://instagram.com/pc.itmr.kz,,,,https://wa.me/77087590401,,,,,,,,43.207694,76.789824,https://2gis.com/firm/70000001103738841,branch
ItBro,магазин компьютеров,Компьютеры; Сборка и апгрейд ПК; Ремонт компьютеров,"улица Навои, 156",,050042,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00,+05:00,5.0,161,87081258656,,,,,,,,,https://instagram.com/itbro.kz,,,,https://wa.me/77081258656,,,,,,,,43.210533,76.88317,https://2gis.com/firm/70000001069616071,branch
Itlex,торговая компания,Компьютеры; Ремонт компьютеров,"улица Толе би, 189д",306 офис; 3 этаж,050009,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 11:00-19:00; Вт: 11:00-19:00; Ср: 11:00-19:00; Чт: 11:00-19:00; Пт: 11:00-19:00; Сб: 11:00-18:00,+05:00,4.2,5,87477017890,,,,,,,,,,,,,https://wa.me/77477017890,,,,,,,,43.252213,76.891215,https://2gis.com/firm/70000001052910695,branch
J & S,компания,Компьютеры; Оргтехника; Ремонт оргтехники; Заправка картриджей,"улица Казыбек би, 65",419а офис; 4 этаж,050000,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 16:00-19:00; Вт: 16:00-19:00; Ср: 16:00-19:00; Чт: 16:00-19:00; Пт: 16:00-19:00; Сб: 16:00-19:00; Вс: 16:00-19:00 (по предварительному звонку),+05:00,5.0,3,87272670425,87075976312,,,,,,,,,,,,https://wa.me/77075976312,,,,,,,,43.256888,76.945996,https://2gis.com/firm/9429940001407691,branch
Januya,центр по ремонту оргтехники и заправке картриджей,Компьютеры; Ремонт компьютеров; Разработка и продвижение сайтов; Сборка и апгрейд ПК; Оргтехника; Программное обеспечение; Системное администрирование; Монтаж компьютерных сетей; Расходные материалы для оргтехники; Ремонт оргтехники; Заправка картриджей,"улица Байтурсынова, 65а",,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 12:00-18:00; Вс: 12:00-18:00 (по предварительному звонку),+05:00,5.0,9,87071580946,,,3apravka.teh@mail.ru,,,,,,,,,,https://wa.me/77071580946,,,,,,,,43.249241,76.925857,https://2gis.com/firm/70000001112608988,branch
Januya,центр по ремонту оргтехники и заправке картриджей,Компьютеры; Заправка картриджей; Разработка и продвижение сайтов; Сборка и апгрейд ПК; Оргтехника; Программное обеспечение; Ремонт компьютеров; Системное администрирование; Монтаж компьютерных сетей; Сетевое оборудование; Расходные материалы для оргтехники; Ремонт оргтехники,"улица Аносова, 153а",,050009,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 12:00-18:00; Вс: 12:00-18:00,+05:00,5.0,7,87071580946,,,3apravka.teh@mail.ru,,,,,,,,,,https://wa.me/77071580946,,,,,,,,43.24278,76.886049,https://2gis.com/firm/70000001112420753,branch
Januya,центр по ремонту оргтехники и заправке картриджей,Компьютеры; Заправка картриджей; Разработка и продвижение сайтов; Сборка и апгрейд ПК; Программное обеспечение; Ремонт компьютеров; Системное администрирование; Монтаж компьютерных сетей; Расходные материалы для оргтехники; Копировальные услуги; Ремонт оргтехники,"улица Масанчи, 23а/2",,050000,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 12:00-18:00; Вс: 12:00-18:00 (по предварительному звонку),+05:00,5.0,13,87071580946,,,3apravka.teh@mail.ru,,,,,,,,,,https://wa.me/77071580946,,,,https://t.me/+77472874265,,,,43.26059,76.927118,https://2gis.com/firm/70000001092814552,branch
Januya,центр по ремонту оргтехники и заправке картриджей,Компьютеры; Ремонт компьютеров; Разработка и продвижение сайтов; Сборка и апгрейд ПК; Оргтехника; Программное обеспечение; Системное администрирование; Монтаж компьютерных сетей; Сетевое оборудование; Расходные материалы для оргтехники; Ремонт оргтехники; Заправка картриджей,"проспект Абая, 52в",М17 офис; цокольный этаж,050008,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 12:00-18:00; Вс: 12:00-18:00 (по предварительному звонку),+05:00,4.0,15,87071580946,,,3apravka.teh@mail.ru,,,,,,,,,,https://wa.me/77071580946,,,,,,,,43.238497,76.914105,https://2gis.com/firm/70000001037367612,branch
Jef market,магазин и сервисный центр,Компьютеры; Ремонт оргтехники; Оргтехника; Ремонт компьютеров,"улица Немировича-Данченко, 8",,050061,,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00,+05:00,,,87004140404,87087772898,,,,,,,,,,,,https://wa.me/77087772898,https://wa.me/77004140404,,,,,,,43.259484,76.869457,https://2gis.com/firm/70000001111741916,branch
Joy,бутик,Компьютеры; Мобильные телефоны; Аксессуары к телефонам; Помощь в подключении услуг связи,"проспект Абылай хана, 62","10, 12, 13 место; 19 сектор; 2 этаж",050004,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:30; Вт: 10:00-20:30; Ср: 10:00-20:30; Чт: 10:00-20:30; Пт: 10:00-20:30; Сб: 10:00-20:30; Вс: 10:00-20:30,+05:00,5.0,8,87058888588,87076788884,,,,,,,,https://instagram.com/joy_mobilee,,,,https://wa.me/77058888588,https://wa.me/77076788884,,,,,,,43.26205,76.941855,https://2gis.com/firm/70000001066989409,branch
jpc.kz,компания по сборке и продаже компьютеров,Компьютеры; Сборка и апгрейд ПК; Ремонт компьютеров,"улица Челюскина, 27",,050011,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:30; Вт: 10:00-20:30; Ср: 10:00-18:30; Чт: 10:00-20:30; Пт: 10:00-20:30; Сб: 10:00-20:30 (по предварительному звонку),+05:00,4.8,57,87071222133,,,,,,,,,,,,,https://wa.me/77071222133,,,,https://t.me/+77071222133,,,,43.318141,76.947819,https://2gis.com/firm/70000001043472539,branch
K-One Group,склад,Компьютеры,"улица Утеген батыра, 7/2а",1 этаж,050031,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00,+05:00,5.0,2,87770970987,87711389969,,,,,,,,https://instagram.com/k_one_group,,,,https://wa.me/77770970987,https://wa.me/77711389969,,,,,,,43.248261,76.853852,https://2gis.com/firm/70000001103188782,branch
K-service,сервисный центр,Компьютеры; Ремонт компьютеров; Программное обеспечение,"микрорайон Мамыр-1, 29/6",4 этаж,050036,Мамыр-1 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (по предварительному звонку),+05:00,4.0,4,87765529502,,,,,,,,,,,,,https://wa.me/77765529502,,,,,,,,43.212184,76.843737,https://2gis.com/firm/70000001091234197,branch
Kafa Electric,торговая компания,Компьютеры; Светотехника; Электроустановочная продукция; Подвесные потолки,"улица Туркебаева, 99",,050009,,Алмалинский район,Алматы,,Алматы,Казахстан,"Пн: 10:00-11:45, 13:15-17:00; Вт: 10:00-11:45, 13:15-17:00; Ср: 10:00-11:45, 13:15-17:00; Чт: 10:00-11:45, 13:15-17:00; Пт: 10:00-11:45, 13:15-17:00",+05:00,4.4,10,87770802270,87051112950,,,,,,,,,,,,https://wa.me/77770802270,https://wa.me/77051112950,,,,,,,43.248749,76.878808,https://2gis.com/firm/70000001025777117,branch
Kascom,​оптово-розничная торговая компания по продаже компьютеров и комплектующих,Компьютеры,"улица Ухтомского, 21",,050042,,Бостандыкский район,Алматы,,Алматы,Казахстан,"Пн: 11:00-15:00, 16:00-18:00; Вт: 11:00-15:00, 16:00-18:00; Ср: 11:00-15:00, 16:00-18:00; Чт: 11:00-15:00, 16:00-18:00; Пт: 11:00-15:00, 16:00-18:00; Сб: 11:00-15:00, 16:00-18:00",+05:00,3.5,21,87475516888,,,,,,,,,https://instagram.com/bestgamer.kz,,,,https://wa.me/77475516888,,,,,,,,43.206191,76.880305,https://2gis.com/firm/70000001084553158,branch
Komek,IT-компания,Компьютеры; Ремонт компьютеров; Сетевое оборудование; Сборка и апгрейд ПК; Оргтехника,"улица Карасай батыра, 326",323 бутик; цокольный этаж,050005,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00 (по предварительному звонку),+05:00,4.8,7,87014033335,,,,,,,,,https://instagram.com/it_komek,https://twitter.com/it_komek,,,https://wa.me/77014033335,,,,https://t.me/it_komek,,https://youtube.com/channel/UCoSVKfBVISLKFou6WsScpag,,43.246251,76.869219,https://2gis.com/firm/70000001057160372,branch
Laptop.kz,магазин по продаже электроники,Компьютеры; Комиссионные магазины,"улица Туркебаева, 257а",15 офис; 2 этаж,050046,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,4.9,16,87772422002,,,,,,,,,https://instagram.com/laptop_kz,,,,https://wa.me/77772422002,,,,,,,,43.233466,76.882245,https://2gis.com/firm/70000001099776527,branch
Lineup PC,магазин компьютерной техники,Компьютеры; Ремонт компьютеров,"проспект Гагарина, 230",1 этаж,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.8,113,87070705670,87476625919,,,,,,,,https://instagram.com/lineup.kzz,,,,https://wa.me/77476625919,https://wa.me/77070705670,,,,,,,43.215906,76.898192,https://2gis.com/firm/70000001103886920,branch
Makentosh,бутик по продаже мобильных телефонов и аксессуаров,Компьютеры; Мобильные телефоны; Аксессуары к телефонам; Ремонт телефонов,"проспект Абылай хана, 62",32 сектор; 2 этаж,050004,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,,,87015298888,,,,,,,,,https://instagram.com/makentosh_kz,,,,https://wa.me/77015298888,,,,,,,,43.26205,76.941855,https://2gis.com/firm/70000001090646733,branch
Marti Technology,,Компьютеры; Оргтехника; Офисная мебель,"улица Немировича-Данченко, 51а",,050061,,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,5.0,1,87758028840,,,,,,,,,https://instagram.com/martitechnology,,,,,,,,,,,,43.264342,76.869397,https://2gis.com/firm/70000001101222109,branch
Maxitel,сервисный центр,Компьютеры; Ремонт телефонов; Ремонт компьютеров; Аксессуары к телефонам; Ремонт цифровой техники,"микрорайон Айнабулак-2, 71д",1 этаж; напротив Cosmart,050014,Айнабулак-2 м-н,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,5.0,1,87712776699,87752776699,,,,,,,,https://instagram.com/maxitel.kz,,,https://vk.com/maxitel_kz,https://wa.me/77712776699,,,,https://t.me/maxitel_kz,,,,43.320106,76.915769,https://2gis.com/firm/70000001059894467,branch
Telefoniya,интернет магазин электроники,Компьютеры; Мобильные телефоны,"проспект Абылай хана, 62",113 кабинет; 4 этаж,050004,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 11:00-19:00; Вт: 11:00-19:00; Ср: 11:00-19:00; Чт: 11:00-19:00; Пт: 11:00-19:00; Сб: 11:00-19:00; Вс: 11:00-19:00,+05:00,4.6,9,87073597605,,,,,,,,,https://instagram.com/i_telefoniya_,,,,https://wa.me/77073597605,,,,,,,,43.26205,76.941855,https://2gis.com/firm/70000001084528495,branch
Thunderobot,магазин компьютерной техники,Компьютеры,"проспект Сейфуллина, 617",2 этаж,050013,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,1,87087337165,,,,,,,,,https://instagram.com/thunderobot.kz,,,,https://wa.me/77087337165,,,,,,,,43.233497,76.935599,https://2gis.com/firm/70000001110818868,branch
Trx Pc,,Компьютеры; Ремонт компьютеров; Сборка и апгрейд ПК,"проспект Абая, 52в",103/2 офис; 1 этаж,050008,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00 (по предварительному звонку),+05:00,4.9,107,87719969845,,,,,,,,,https://instagram.com/trx_pc_almaty,,,,https://wa.me/77719969845,,,,,,,,43.238497,76.914105,https://2gis.com/firm/70000001078804675,branch
Veltrix,магазин компьютерной техники,Компьютеры; Ремонт компьютеров,"микрорайон Аксай-4, 44а",,050063,Аксай-4 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-17:00; Вс: 10:00-19:00,+05:00,4.4,30,87005558088,,,,,,,,,https://instagram.com/veltrixkz,,,,https://wa.me/77005558088,,,,https://t.me/+77005558088,,,,43.227109,76.837478,https://2gis.com/firm/70000001092493844,branch
Ne Service,"сервисный центр по ремонту ноутбуков, ПК и телефонов",Компьютеры; Запчасти к телефонам; Сборка и апгрейд ПК; Элементы питания; Системное администрирование,"улица Немировича-Данченко, 18а",цокольный этаж,050061,,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 14:00-19:00; Вт: 14:00-19:00; Ср: 14:00-19:00; Чт: 14:00-19:00; Пт: 14:00-19:00; Сб: 14:00-18:00; Вс: 14:00-18:00,+05:00,4.6,537,87056544169,,,,,,,,,,,,,https://wa.me/77056544169,,,,,,,,43.261098,76.868841,https://2gis.com/firm/70000001047307029,branch
Nemo.kz,интернет-магазин,Компьютеры; Стационарные телефоны; Бытовая техника; Мобильные телефоны; Аксессуары к телефонам,"улица Байтурсынова, 179 блок 3",1 этаж,050013,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+05:00,4.5,414,87782167342 (сервисный центр),87766950577,,,,,,,,https://instagram.com/nemo.kz,,,,https://wa.me/77766950577,,,,,,,,43.230723,76.934958,https://2gis.com/firm/70000001064626186,branch
Nice Store,бутик по продаже аксессуаров и ремонту мобильных телефонов,Компьютеры; Мобильные телефоны; Аксессуары к телефонам; Ремонт компьютеров,"улица Макатаева, 45",104 бутик; 1 этаж,050002,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.7,17,87475553145 (отдел продаж),87081646282 (ремонт ноутбуков),,,,,,,,https://instagram.com/nicestore.kz,,,,https://wa.me/77475553145,https://wa.me/77081646282,,,,,,,43.264973,76.955657,https://2gis.com/firm/70000001046686032,branch
Nk-servise,сервисный центр,Компьютеры; Ремонт компьютеров; Ремонт оргтехники; Сборка и апгрейд ПК; Ремонт цифровой техники,"улица Гоголя, 89",218 кабинет; 2 этаж,050004,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00,+05:00,4.9,100,87074351095,,,,,,,,,https://instagram.com/nk_servise_,,,,https://wa.me/77074351095,,,,,,,,43.260745,76.942189,https://2gis.com/firm/70000001065260817,branch
NLT Service,сервисный центр по обслуживанию компьютеров и ноутбуков,Компьютеры; Сборка и апгрейд ПК; Ремонт компьютеров; Системное администрирование; Оргтехника,"проспект Абая, 68/74",104 офис; 1 этаж,050008,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 11:00-18:00 (по предварительному звонку),+05:00,5.0,13,87472150000,,,,,,,,,https://instagram.com/nlt.service,,,,https://wa.me/77472150000,,,,https://t.me/+77472150000,,,,43.238723,76.90472,https://2gis.com/firm/70000001098472574,branch
Notnik,магазин компьютерной техники,Компьютеры,"микрорайон Аксай-2, 8/3",9 бутик; 3 этаж,050031,Аксай-2 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,"Пн: 10:30-13:00, 14:00-20:30; Вт: 10:30-13:00, 14:00-20:30; Ср: 10:30-13:00, 14:00-20:30; Чт: 10:30-13:00, 14:00-20:30; Пт: 10:30-13:00, 14:00-20:30; Сб: 10:30-13:00, 14:00-20:30; Вс: 10:30-13:00, 14:00-20:30",+05:00,5.0,128,87007720003,,,,,,,,,https://instagram.com/notnik_kazakhstan,,,,,,,,,,,,43.239827,76.834404,https://2gis.com/firm/70000001090348396,branch
Ogo! Market,магазин электроники,Компьютеры; Электротехника; Средства радиосвязи,"улица Толе би, 266",15/1 бутик; 1 этаж,050005,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,5.0,7,87474018294,87018803305,87075283371,,,,,,,https://instagram.com/ogomarket,,,,https://wa.me/77474018294,https://wa.me/77018803305,https://wa.me/77075283371,,,,,,43.249802,76.877107,https://2gis.com/firm/70000001078595871,branch
Omoto,дистрибьюторская компания,Компьютеры; Бытовая техника; Детская мебель,"проспект Райымбека, 496а",02 помещение; 1 этаж,050031,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00,+05:00,,,87029653311,,,,,,,,,,,,,https://wa.me/77029653311,,,,,,,,43.247811,76.844885,https://2gis.com/firm/70000001112633633,branch
Oncharge,​магазин мобильных телефонов и гаджетов,Компьютеры; Мобильные телефоны; Аксессуары к телефонам,"Луганского улица, 19",,050051,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.9,140,87765955555,,,oncharge@mail.ru,,,,,,https://instagram.com/oncharge_kz,,,,https://wa.me/77765955555,,,,,,,,43.239266,76.960142,https://2gis.com/firm/70000001080286191,branch
OpenLinkSystems,компания дистрибьютор,Компьютеры,"Богенбай батыра улица, 180",1 этаж,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 08:30-17:30; Вт: 08:30-17:30; Ср: 08:30-17:30; Чт: 08:30-17:30; Пт: 08:30-17:30,+05:00,5.0,2,87021533211,,,,,,,,,,,,,https://wa.me/77021533211,,,,,,,,43.251589,76.924878,https://2gis.com/firm/70000001089340198,branch
Pan,магазин мобильных гаджетов,Компьютеры; Мобильные телефоны; Аксессуары к телефонам; Аудиотехника и видеотехника; Бытовая техника,"проспект Абылай хана, 62",33 сектор; 2 этаж,050004,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,5.0,6,87077913939,,,,,,,,,https://instagram.com/pan_opt.store,,,,https://wa.me/77077912929,,,,,,,,43.26205,76.941855,https://2gis.com/firm/70000001084534172,branch
PC Plus,сервисный центр,Компьютеры; Ремонт компьютеров; Комиссионные магазины,"улица Толе би, 266","13 бутик; 1, 2 этаж",050005,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+05:00,3.0,3,87783835555,,,,,,,,,https://instagram.com/detailing_pc_kz,,,,https://wa.me/77783835555,,,,,,,,43.249802,76.877107,https://2gis.com/firm/70000001036007008,branch
Pixel Kazakhstan,сервисный центр,Компьютеры,"улица Панфилова, 103",3 этаж,050004,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00,+05:00,3.6,7,87084989898,,,,,,,,,,,,,https://wa.me/77084989898,,,,,,,,43.261033,76.942936,https://2gis.com/firm/70000001093745858,branch
Pixel pro service,сервисная компания,Компьютеры; Ремонт компьютеров; Системное администрирование; Ремонт цифровой техники; Сборка и апгрейд ПК,"улица Котельникова, 50/2",2 этаж,050037,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00 (по предварительному звонку),+05:00,5.0,88,87051179070,,,,,,,,,,,,,https://wa.me/77051179070,,,,https://t.me/+77051179070,,,,43.309282,76.935848,https://2gis.com/firm/70000001060018660,branch
Politech trade company,торговая компания,Компьютеры; Расходные материалы для оргтехники; Программное обеспечение; Монтаж охранно-пожарных систем; Оргтехника,"проспект Жибек Жолы, 50 блок В","32, 48 офис; 3 этаж",050002,,Медеуский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,,,87775113153,87272737751,,,,,,,,,,,https://vk.com/politech_kz,https://wa.me/77775113153,,,,,,,,43.26193,76.954652,https://2gis.com/firm/9429940001543834,branch
Prime Limited,торговая компания,Компьютеры; Оргтехника; Системное администрирование; Программное обеспечение,"проспект Назарбаева, 103",701 офис; 7 этаж,050000,,Алмалинский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,,,87273132720,,,,,,,,,,,,,,,,,,,,,43.257805,76.945751,https://2gis.com/firm/70000001106135482,branch
Prime pulser,шоурум,Компьютеры; Сборка и апгрейд ПК,"проспект Аль-Фараби, 128/8",,050044,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00; Сб: 11:00-20:00; Вс: 11:00-20:00,+05:00,4.3,9,87004004425,,,,,,,,,https://instagram.com/prime.pulser,,,,https://wa.me/77004004425,,,,,,,,43.21364,76.934578,https://2gis.com/firm/70000001110610605,branch
Prime Tech Pro,,Компьютеры; Ремонт компьютеров; Сборка и апгрейд ПК,"улица Айманова, 196",1 этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 10:00-17:00; Вт: 10:00-17:00; Ср: 10:00-17:00; Чт: 10:00-17:00; Пт: 10:00-17:00,+05:00,4.9,11,87053335311,87071010338 (сервисный центр),,,,,,,,,,,,https://wa.me/77053335311,https://wa.me/77001010338,,,,,,,43.230628,76.897852,https://2gis.com/firm/70000001111096678,branch
PrimeComputers,оптово-розничная компания,Компьютеры; Оргтехника,"улица Рыскулбекова, 34",1 офис; 1 этаж,050043,,Бостандыкский район,Алматы,,Алматы,Казахстан,"Пн: 10:00-13:00, 14:00-18:00; Вт: 10:00-13:00, 14:00-18:00; Ср: 10:00-13:00, 14:00-18:00; Чт: 10:00-13:00, 14:00-18:00; Пт: 10:00-13:00, 14:00-18:00",+05:00,,,87004105641,,,,,,,,,,,,,https://wa.me/77004105641,,,,,,,,43.204553,76.870624,https://2gis.com/firm/70000001089692278,branch
Print Service,торгово-сервисная компания,Компьютеры; Ремонт компьютеров; Заправка картриджей; Ремонт оргтехники,"улица Заманбека Батталханова, 7",204 офис; 2 этаж,040700,,,,Илийский район,Алматинская область,Казахстан,Пн: 09:00-17:00; Вт: 09:00-17:00; Ср: 09:00-17:00; Чт: 09:00-17:00; Пт: 09:00-17:00,+05:00,4.9,13,87782644478,,,,,,,,,,,,,https://wa.me/77782644478,,,,,,,,43.415837,77.01556,https://2gis.com/firm/9429940001172765,branch
Print-comp,сервисный центр по ремонту и обслуживанию офисной техники,Компьютеры; Ремонт компьютеров; Ремонт оргтехники; Заправка картриджей; Сборка и апгрейд ПК,"проспект Райымбека, 251г",0/5 офис; цокольный этаж,050034,,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 12:00-20:00; Вт: 12:00-20:00; Ср: 12:00-20:00; Чт: 12:00-20:00; Пт: 12:00-20:00; Сб: 12:00-20:00; Вс: 12:00-20:00 (по предварительной записи),+05:00,4.4,31,87029098242,,,,,,,,,,,,,https://wa.me/77083306752,,,,https://t.me/+77083306752,,,,43.263177,76.896941,https://2gis.com/firm/70000001037374003,branch
